,gid,UF,nome,PIB,PIB_percapita
1988,4631.0,SÃO PAULO,Louveira,5815328.5,174891.84375
2007,5002.0,SÃO PAULO,Araçariguama,1460157.5,110550.9921875
2034,4851.0,SÃO PAULO,São Manuel,784365.25,19759.30078125
2075,5090.0,SÃO PAULO,São Vicente,2898355.75,8761.79003906
2078,4192.0,SÃO PAULO,Angatuba,370607.09375,15957.25
2083,4772.0,SÃO PAULO,Rafard,116352.234375,13911.08007812
2090,4224.0,SÃO PAULO,Boa Esperança do Sul,147362.53125,10561.34960938
2092,4244.0,SÃO PAULO,Cajuru,257855.21875,10605.65039062
2093,4968.0,SÃO PAULO,Itapira,1529548.5,21051.63085938
2096,1617.0,SÃO PAULO,Iperó,353688.0,12849.23046875
2101,4847.0,SÃO PAULO,São José da Bela Vista,121228.2890625,14240.37011719
2103,3767.0,SÃO PAULO,General Salgado,152542.734375,13951.23046875
2104,4818.0,SÃO PAULO,Santana da Ponte Pensa,19317.39648438,11953.83007812
2119,4195.0,SÃO PAULO,Aparecida,392993.75,10443.91015625
2127,4274.0,SÃO PAULO,Corumbataí,90408.453125,21848.34960938
2148,4840.0,SÃO PAULO,São Carlos,4523692.5,20519.06054688
2159,4209.0,SÃO PAULO,Avaré,1068860.0,12661.8203125
2170,4572.0,SÃO PAULO,Itapura,61968.03515625,15723.94042969
2181,4430.0,SÃO PAULO,Barão de Antonina,24476.94921875,8633.83984375
2184,4967.0,SÃO PAULO,Sumaré,6901888.0,28629.390625
2188,4304.0,SÃO PAULO,Fernão,15919.24707031,10466.29980469
2195,4733.0,SÃO PAULO,Piedade,540496.875,10917.36035156
2227,4207.0,SÃO PAULO,Aspásia,18543.80664062,10155.4296875
2232,4634.0,SÃO PAULO,Luiziânia,49629.58984375,9659.3203125
2239,4678.0,SÃO PAULO,Nhandeara,149794.8125,13907.23046875
2240,4773.0,SÃO PAULO,Rancharia,717951.9375,24630.41015625
2248,4287.0,SÃO PAULO,Dourado,99709.078125,10919.83984375
2249,4680.0,SÃO PAULO,Nova Aliança,78971.359375,15364.08007812
2252,4590.0,SÃO PAULO,Jumirim,49320.47265625,21537.3203125
2287,4713.0,SÃO PAULO,Paraibuna,156873.703125,9319.41015625
2288,4669.0,SÃO PAULO,Monte Azul Paulista,238555.140625,12084.25
2295,4267.0,SÃO PAULO,Colina,401904.125,22648.86914062
2298,4527.0,SÃO PAULO,Igarapava,544058.1875,19272.33984375
2301,4640.0,SÃO PAULO,Magda,38062.2890625,12045.03027344
2303,4231.0,SÃO PAULO,Brejo Alegre,98921.7265625,38446.0703125
2311,4667.0,SÃO PAULO,Monte Alto,884692.25,19276.43945312
2314,4621.0,SÃO PAULO,Laranjal Paulista,411011.4375,15630.19042969
2320,4214.0,SÃO PAULO,Barra Bonita,720004.875,19881.94921875
2323,4580.0,SÃO PAULO,Jaborandi,74203.8203125,11050.45996094
2325,4533.0,SÃO PAULO,Indiaporã,44271.6015625,11210.83984375
